round,accuracy,loss
1,0.7139868499701135,0.5151890150847889
2,0.9202032277346085,0.20720510104050238
3,0.9324566646742379,0.17917342621921784
4,0.9444112372982666,0.1496118712017224
5,0.945008965929468,0.1411132047928515
6,0.9524805738194859,0.13941271687369972
7,0.9515839808726838,0.12649421079882553
8,0.9563658099222953,0.11727725013957492
9,0.9536760310818888,0.11662426687073008
10,0.958756724447101,0.10532311458096263
11,0.9623430962343096,0.09661601228706007
12,0.9590555887627017,0.10784544331864232
13,0.9656306037059175,0.09342481460244882
14,0.9641362821279139,0.0893226650327311
15,0.9698147041243276,0.0796144543958473
16,0.9742976688583384,0.07477254639656859
17,0.9677226539151226,0.08181363017508937
18,0.9754931261207412,0.06777277288534346
19,0.9772863120143455,0.06488683031749956
20,0.9757919904363419,0.06345948111265898
